Diseases,Affected Crop,Symptoms,Causes,Treatment,Prevention
Alternaria Leaf Blight,Groundnut,Brown lesions with yellow halo; curled and brittle leaves; blighted appearance,"Alternaria arachidis, Alternaria tenuissima","Spray Mancozeb, Copper Oxychloride or Carbendazim",Remove infected debris and volunteer plants
Collar Rot / Seedling Blight,Groundnut,"Seed rot, collar lesions, seedling collapse, stem shredding, crown rot",Aspergillus niger,"Seed treatment with Trichoderma, Carboxin+Thiram or Carbendazim",Crop rotation and destruction of infected debris
Root Rot,Groundnut,"Stem lesions, bark shredding, sagging branches, root decay",Macrophomina phaseolina,Seed treatment with Trichoderma or Carbendazim; soil application of Bacillus subtilis,Crop rotation and removal of infected debris
Wilt,Red Gram,"Yellowing, drooping, wilting, vascular browning, plant death",Fusarium udum,Seed treatment with Trichoderma/Pseudomonas/Carbendazim; Carbendazim drenching,"Neem cake application, soil application of Trichoderma/Pseudomonas"
Root Rot,Red Gram,"Yellowing leaves, root rotting, bark shredding, plant death",Rhizoctonia bataticola / Macrophomina phaseolina,Seed treatment with Trichoderma/Pseudomonas/Carbendazim; Carbendazim drenching,Neem cake and biocontrol soil application
Alternaria Leaf Spot,Red Gram,Necrotic spots with concentric rings; leaf blight,Alternaria alternata,Spray Mancozeb 1 kg/ha,Remove infected leaves and monitor crop
Powdery Mildew,Red Gram,"Powdery patches on lower leaf surface, yellowing, defoliation",Leveillula taurica,"Spray NSKE 5%, Neem oil 3%, Carbendazim or Wettable Sulphur",Early monitoring and neem-based sprays
Sterility Mosaic Disease,Red Gram,"Mosaic symptoms, stunting, bushy appearance, sterility",Pigeonpea Sterility Mosaic Virus (PPSMV),Spray Fenazaquin 1 ml/L,Rogue infected plants early and control mite vector
Yellow Mosaic,Red Gram,"Yellow patches on leaves, stunted growth, reduced pods",Redgram Yellow Mosaic Virus,Spray Methyldemeton 500 ml/ha,Remove infected plants and weed hosts
scochyta Blight,Chickpea,"Water-soaked lesions, brown leaf spots, leaf blight, stem lesions, shriveled seeds",Ascochyta rabiei,Seed treatment with Carbendazim; spray Mancozeb or Wettable Sulphur,"Use disease-free seed, crop rotation, intercrop with wheat/barley/mustard"
Botrytis Gray Mold,Chickpea,"Flower shedding, gray mold on leaves and flowers, stem lesions, pod rot, shriveled seeds",Botrytis cinerea,"Seed treatment with Carbendazim + Thiram; spray Captan, Carbendazim or Mancozeb",Avoid excessive irrigation and dense growth; deep summer ploughing
Collar Rot,Chickpea,"Yellowing seedlings, stem/root decay, brown infected tissues, mustard-like sclerotia",Sclerotium rolfsii,Seed treatment with Carbendazim,"Deep ploughing, avoid excess moisture, remove crop residues"
Dry Root Rot,Chickpea,"Dried plants during flowering/podding, brittle roots, straw-colored stems and leaves",Rhizoctonia bataticola / Macrophomina phaseolina,"Seed treatment with Trichoderma, Pseudomonas, Carbendazim or Thiram; Carbendazim drenching","Deep ploughing, resistant varieties, avoid drought stress"
Fusarium Wilt,Chickpea,"Seedling collapse, drooping leaves, vascular discoloration, whole plant wilting",Fusarium oxysporum f.sp. ciceri,"Seed treatment with Trichoderma, Pseudomonas, Carbendazim or Thiram; Carbendazim drenching","Disease-free seeds, crop rotation, avoid high temperatures"
Powdery Mildew,Chickpea,"White powdery coating on leaves, stems, and pods; leaves turn purple and die",Oidiopsis taurica,Spray Dithane M-45 or Carbendazim,Maintain field sanitation and monitor early symptoms
Alternaria Leaf Spot,Soybean,"Brown necrotic spots with concentric rings, premature leaf drop",Alternaria tenuissima,Mancozeb/Copper fungicide/Carbendazim,"Use certified seeds, destroy crop residues"
Bacterial Blight,Soybean,"Water-soaked angular leaf spots, chlorosis, stem lesions",Pseudomonas syringae pv. glycinea,Copper fungicide + Streptocyclin,"Deep ploughing, use healthy seeds"
Cercospora Leaf Blight,Soybean,"Purple leaves, chlorosis, necrosis, defoliation",Cercospora kikuchii,"Mancozeb, Copper oxychloride, Carbendazim","Remove crop debris, use healthy seeds"
Charcoal Rot,Soybean,"Wilting, root blackening, cracking, gray discoloration",Macrophomina phaseolina,Seed treatment with Trichoderma/Pseudomonas/Carbendazim,"Crop rotation, balanced fertilization"
Collar Rot,Soybean,"Yellowing, wilting, stem girdling, brown sclerotia",Sclerotium rolfsii,"Carbendazim drenching, seed treatment","Crop rotation, destroy infected stubble"
Frog Eye Leaf Spot,Soybean,"Circular gray-brown leaf spots, premature leaf drop",Cercospora sojina,Mancozeb or Carbendazim,"Certified seeds, crop rotation"
Rhizoctonia Aerial Blight,Soybean,"Water-soaked leaves, web-like fungal growth, brown lesions",Rhizoctonia solani,"Mancozeb, Copper fungicide, Carbendazim","Avoid dense planting, remove residues"
Soybean Mosaic,Soybean,"Mottled seeds, crinkled leaves, stunted growth",Soybean Mosaic Virus (SMV),Thiamethoxam or Methyl Demeton sprays,"Weed control, rogue infected plants"
Yellow Mosaic,Soybean,"Bright yellow mottling along veins, necrotic spots",Mungbean Yellow Mosaic Virus (MYMV),Methyldemeton spray,Remove infected plants early
Rust,Sunflower,"Brown pustules on leaves, stems, petioles, floral parts",Puccinia helianthi,Spray Mancozeb 1000 g/ha,"Early monitoring, timely fungicide spray"
Charcoal Rot,Sunflower,"Sudden wilting, black ashy stem discoloration, root rot",Macrophomina phaseolina,"Carbendazim drenching, Trichoderma/Pseudomonas application","Use FYM, maintain soil health"
Rhizopus Head Rot,Sunflower,"Brown water-soaked spots on head, soft rot, white then black fungal growth",Rhizopus sp.,Spray Mancozeb 2 g/L,"Avoid head injury, control insects"
Sclerotium Wilt/Rot,Sunflower,"Wilting, white cottony growth, mustard-like sclerotia",Sclerotium rolfsii,Seed treatment + Carbendazim drenching,Destroy crop debris
Downy Mildew,Sunflower,"Stunted plants, chlorotic leaves, white growth below leaves",Plasmopara halstedii,Seed treatment with Metalaxyl 3 g/kg,Remove infected residues
Sunflower Necrosis,Sunflower,"Mosaic, necrosis, chlorosis, leaf curling",Sunflower Necrosis Virus,Seed treatment with Imidacloprid,Control vector population
Seedling Blight,Castor,"Seedling death, brown leaf spots, stem collapse",Phytophthora colocasiae,Metalaxyl/Copper oxychloride drench,Avoid waterlogged fields
Alternaria Blight,Castor,"Brown spots with concentric rings, premature defoliation",Alternaria ricini,Mancozeb spray,"Healthy seed, seed treatment"
Cercospora Leaf Spot,Castor,Brown spots with gray center and dark margins,Cercospora ricinella,Mancozeb spray,Seed treatment with Thiram/Captan
Powdery Mildew,Castor,White powdery growth on leaves,Leveillula taurica,"Wettable Sulphur, Hexaconazole",Resistant varieties
Wilt,Castor,"Drooping leaves, vascular discoloration, plant death",Fusarium oxysporum,Thiram/Carbendazim/Trichoderma seed treatment,"Resistant varieties, crop sanitation"
Sunflower Mosaic,Sunflower,"Mosaic pattern, ring spots, chlorosis, stunted plants, malformed heads",Sunflower Mosaic Virus,Vector management,"Control aphids, remove infected plants"
Alternaria Blight,Sunflower,"Dark brown to black circular spots with concentric rings, chlorotic halo, spots on leaves, stems and florets, reduced seed yield",Alternaria helianthi,Spray Mancozeb 0.3% four times at 10-day intervals,"Mid-September planting, monitor crop regularly"
Alternaria Blight,Safflower,"Brown spots with concentric rings, stem lesions, seed rot, seedling damping-off",Alternaria carthami,"Spray Mancozeb 0.25%, seed treatment with Carbendazim","Avoid waterlogging, remove infected plants"
Leaf Spot,Safflower,"Brown sunken spots with yellow halo, flower bud death",Cercospora carthami,Spray Mancozeb or Carbendazim,"Deep ploughing, destroy infected plants"
Powdery Mildew,Safflower,"White powdery growth on leaves, yellowing and drying",Erysiphe cichoracearum,Spray Wettable Sulphur or Carbendazim,"Use resistant varieties, field sanitation"
Mosaic,Safflower,"Yellow-green mosaic, leaf distortion, stunted plants",Cucumber Mosaic Virus (CMV),Spray Dimethoate for aphid control,"Rogue infected plants, manage aphids"
Rust,Safflower,"Brown/orange pustules, wilting seedlings, stem girdling",Puccinia carthami,Spray Hexaconazole/Propiconazole or Mancozeb,"Seed treatment, remove plant debris"
Wilt,Safflower,"Yellowing, wilting, vascular browning, small flower heads",Fusarium oxysporum f.sp. carthami,"Carbendazim, Trichoderma, Pseudomonas treatments","Crop rotation, avoid water stress"
Alternaria Leaf Blight,Sesame,"Brown spots with concentric rings, leaf blight, capsule splitting, shriveled seeds",Alternaria sesami,Spray Mancozeb 1000 g/ha,"Remove reservoir hosts, avoid close spacing"
Phyllody,Sesame,"Flowers become leafy, bushy appearance, sterility",Candidatus phytoplasma,"NSKE/Neem oil, Imidacloprid, Quinalphos, Thiamethoxam","Remove infected plants, control jassid vector"
Root Rot / Stem Rot / Charcoal Rot,Sesame,"Collar lesions, yellowing, bark shredding, rotten roots",Macrophomina phaseolina,"Trichoderma seed treatment, Carbendazim drench","Crop rotation, early planting, destroy residues"
Powdery Mildew,Sesame,"White powdery growth on leaves, flower and capsule infection",Erysiphe cichoracearum,Wettable Sulphur 80 WP @ 1 kg/ha,"Monitor crop, apply sulphur dust"
Cercospora Leaf Spot,Sesame,"Grey-white spots with brown margins, leaf patches",Cercospora sesami,Spray Mancozeb 72 WP @ 1000 g/ha,"Reduce leaf wetness, remove infected debris"
Fusarium Wilt,Sesame,"Yellowing, drooping, wilting, vascular black streaks",Fusarium oxysporum f.sp. sesami,"Carbendazim drench, Trichoderma soil application",Use FYM with biocontrol agents
Downy Mildew,Maize,"Chlorosis, narrow leaves, white downy growth, poor cob formation",Peronosclerospora sorghi,"Metalaxyl seed treatment, Metalaxyl + Mancozeb spray","Disease-free seed, resistant hybrids, crop rotation"
Crazy Top Downy Mildew,Maize,"Strap-like leaves, excessive tillering, twisted leaves, phyllody",Sclerophthora macrospora,"Metalaxyl seed treatment, Mancozeb spray","Deep tillage, rogue infected plants"
Leaf Blight,Maize,"Long cigar-shaped lesions, leaf drying, blighting",Exserohilum turcicum / Helminthosporium maydis,"Mancozeb, Zineb, Propiconazole spray",Destroy infected stubbles
Charcoal Rot,Maize,"Wilting, stalk shredding, grey-black pith, stalk breakage",Macrophomina phaseolina,Trichoderma/Pseudomonas soil application,Avoid water and nutrient stress
Common Rust,Maize,"Brown powdery pustules on leaves, sheath infection",Puccinia sorghi,"Kresoxim-methyl, Tebuconazole, Mancozeb spray",Remove alternate hosts
Aspergillus Rot / Aflatoxin Contamination,Maize,"Green mould on kernels, aflatoxin contamination",Aspergillus flavus / A. parasiticus,Proper drying (<14% moisture),Avoid crop stress and kernel injury
Head Smut,Sorghum,Entire earhead replaced by white gall and black spores,Sphacelotheca reiliana,Carboxin seed treatment,"Resistant cultivars, destroy infected heads"
Covered Kernel Smut,Sorghum,Grains replaced by smut sori covered with creamy skin,Sphacelotheca sorghi,Carboxin/Captan/Thiram seed treatment,Destroy infected earheads
Long Smut,Sorghum,Long cylindrical curved smut sori on florets,Tolyposporium ehrenbergii,Carboxin/Captan/Thiram seed treatment,Destroy infected earheads
Loose Smut,Sorghum,Black elongated sori with exposed columella,Sphacelotheca cruenta,Carboxin/Captan/Thiram seed treatment,Destroy infected earheads
Downy Mildew,Sorghum,White downy growth on lower leaf surface,Peronosclerospora sorghi,Metalaxyl + Mancozeb spray,Rogue infected plants
Rust,Sorghum,Elliptical brown pustules parallel to veins,Puccinia purpurea,Mancozeb spray,Early disease monitoring
Anthracnose & Red Rot,Sorghum,"Leaf lesions, red/purple midrib lesions, stem discoloration",Colletotrichum graminicola,Mancozeb spray,Seed treatment with Captan/Thiram
Grain Mold,Sorghum,White/pink/black fungal growth on grains,"Fusarium spp., Curvularia lunata etc.",Mancozeb or Captan + Aureofungin spray,Prevent rain damage during grain formation
Downy Mildew,Cumbu (Pearl Millet),"Chlorosis, stunting, white downy growth, green ear symptom",Sclerospora graminicola,Metalaxyl + Mancozeb spray,"Resistant varieties, remove infected plants"
Ergot,Cumbu,"Honeydew droplets on florets, black sclerotia replacing seeds",Claviceps fusiformis,Carbendazim or Mancozeb spray,Timely flowering-stage spray
Rust,Cumbu,"Reddish-brown pustules on leaves, leaf necrosis",Puccinia substriata,Wettable sulphur or Mancozeb spray,"Early monitoring, proper sowing season"
Head Mold,Cumbu,Pink/white/brown fungal growth on grains,Various fungi,Mancozeb or Captan + Aureofungisol spray,Avoid delayed harvest and excess humidity
Bipolaris Leaf Spot,Cumbu,"Brown flecks, streaks, oval lesions on leaves",Bipolaris setariae,Mancozeb spray,Remove infected plant debris
Cercospora Leaf Spot,Cumbu,Oval lesions with dark margins and pale center,Cercospora penniseti,Fungicide spray (commonly Mancozeb),Field sanitation
Curvularia Leaf Spot,Cumbu,Yellow-brown spots turning into oblong lesions,Curvularia penniseti,Mancozeb 1 kg/ha,Early detection and spraying
Blast,Ragi (Finger Millet),"Neck blast, nodal blast, panicle breakage, burnt appearance",Pyricularia grisea,Carbendazim or Iprobenphos spray,Timely fungicide sprays at flowering
Mosaic,Ragi,"Chlorotic specks, streaks, yellowing, poor earhead emergence",Potyvirus,Methyl demeton spray,Rogue infected plants and control vectors
Mottle Streak,Ragi,"Chlorotic streaks, yellowing, unproductive tillers",Nucleorhabdovirus,Methyl demeton spray,Remove infected plants and control leafhopper vectors
Head Smut,Proso Millet (Panivaragu),Elongated thickened smutted panicles,Sphacelotheca destruens,Seed treatment with Ceresan/Hot water treatment,Use healthy seed
Bacterial Streak,Proso Millet,Streak symptoms on leaves,Bacterial pathogen,Magnesium arsenate seed treatment,Healthy seed
Downy Mildew,Barnyard Millet (Kudiraivali),"Yellow bands, white growth, chaffy earheads",Fungal pathogen,Remove infected plants,Use healthy seed
Smut,Barnyard Millet,Black masses instead of grains,Smut fungus,Seed treatment with Agrosan/Ceresan,Hot water seed treatment
Rust,Barnyard Millet,Black spots in lines on leaves,Rust fungus,Dithane M-45 spray,Early monitoring
